scrape_time,keyword,product_name,product_url,seller,location,price_text
2025-09-13T16:47:24.966877,paint,"Asian Paints, 20 ltr",https://www.indiamart.com/proddetail/asian-paints-24433878362.html?pos=6&kwd=paint&tags=rk:T||dt:32|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,,Asian Paints,₹ 380
2025-09-13T16:47:24.968885,paint,Ganesh Paints & Sanitary Jammikunta,https://www.indiamart.com/ganesh-paints-sanitary-jammikunta/?pos=6&kwd=paint&tags=rk:T||dt:32|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Ganesh Paints & Sanitary Jammikunta,Jammikunta,
2025-09-13T16:47:24.970894,paint,"Asian Paints, 1 ltr",https://www.indiamart.com/proddetail/asian-paints-2851879930391.html?pos=7&kwd=paint&tags=rk:T||dt:36|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,,Asian Paints,"₹ 1,222"
2025-09-13T16:47:24.972902,paint,Raja Rajeshwara Pesticides And Seeds,https://www.indiamart.com/raja-rajeshwara-pesticides-and-seeds/?pos=7&kwd=paint&tags=rk:T||dt:36|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Raja Rajeshwara Pesticides And Seeds,Narasampet,
2025-09-13T16:47:24.975902,paint,"Asian Paints Ace Exterior Emulsion Paint, 10 ltr",https://www.indiamart.com/proddetail/asian-paints-ace-exterior-emulsion-paint-2852094721612.html?pos=8&kwd=paint&tags=rk:T||dt:27|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,,Asian Paints,"₹ 2,550"
2025-09-13T16:47:24.977912,paint,Suhas Agencies,https://www.indiamart.com/suhasagencies/?pos=8&kwd=paint&tags=rk:T||dt:27|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Suhas Agencies,Huzurabad,
2025-09-13T16:47:24.982435,paint,British Paints Yak Synthetic Enamel,https://www.indiamart.com/proddetail/yak-synthetic-enamel-19346766848.html?pos=9&kwd=paint&tags=rk:T||dt:48|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Sai Agencies & Genaral Merchants,Thorrur,Ask Price
2025-09-13T16:47:24.984147,paint,Sai Agencies & Genaral Merchants,https://www.indiamart.com/sai-agencies-genaral-merchants/?pos=9&kwd=paint&tags=rk:T||dt:48|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Sai Agencies & Genaral Merchants,Thorrur,
2025-09-13T16:47:24.984147,paint,Sri Sri Krishna Enterprises,https://www.indiamart.com/sri-sri-krishna-enterprises/?pos=10&kwd=paint&tags=rk:C||dt:5|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC4|ktp:N0|mtp:SP|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17411|com-cf:nl|ptrs:na|mc:85229|cat:202|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250913|prdt:250913|msf:ms|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,Sri Sri Krishna Enterprises,Warangal,
2025-09-13T16:48:47.542877,furniture,Interior Design Furniture,https://www.indiamart.com/proddetail/interior-design-furniture-2852521074033.html?pos=1&kwd=furniture&tags=rk:T||dt:48|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_50_NP-|-res:RC3|ktp:N0|mtp:G|wc:1|lcf:3|cq:hanamkonda|qr_nm:gl-gd|cs:17823|com-cf:nl|ptrs:na|mc:105864|cat:103|qry_typ:P|lang:en|tyr:-|qrd:250913|mrd:250910|prdt:250913|msf:ls|pfen:1|gli:G0I0|gc:Hanamkonda|ic:Hanamkonda|scw:1|v=4,,Interior Design,"₹ 1,350 /sq ft"
